1|116|4
2|56|5
3|7|15
4|63|4
5|121|1
6|38|8
7|69|19
8|77|7
9|76|4
10|4|1
11|65|13
12|92|2
13|133|1
14|22|17
15|38|12
16|78|9
17|134|9
18|19|4
19|116|8
20|19|15
21|29|6
22|90|14
23|66|14
24|87|4
25|46|17
26|91|2
27|66|7
28|52|15
29|133|19
30|122|20
31|105|2
32|20|19
33|91|20
34|83|4
35|59|16
36|57|20
37|36|16
38|53|18
39|40|17
40|106|7
41|80|7
42|41|7
43|122|19
44|37|11
45|10|19
46|131|17
47|118|4
48|36|8
49|37|20
50|109|17
51|129|11
52|118|14
53|59|12
54|134|14
55|66|17
56|6|1
57|21|18
58|121|12
59|106|5
60|51|16
61|4|8
62|101|10
63|53|15
64|23|5
65|78|16
66|117|16
67|1|10
68|58|10
69|58|11
70|75|11
71|36|5
72|20|12
73|32|6
74|1|19
75|124|5
76|18|16
77|81|18
78|90|7
79|96|19
80|25|9
81|11|6
82|102|20
83|32|3
84|58|1
85|120|7
86|105|13
87|60|6
88|9|17
89|95|1
90|58|7
91|65|19
92|32|15
93|133|3
94|61|17
95|15|5
96|4|18
97|17|4
98|14|17
99|71|5
100|31|12
101|132|2
102|72|16
103|123|10
104|44|6
105|84|5
106|5|5
107|36|16
108|128|20
109|131|9
110|42|11
111|63|3
112|117|16
113|59|17
114|97|7
115|97|16
116|17|8
117|50|9
118|117|19
119|67|3
120|36|15
121|82|20
122|97|3
123|2|3
124|56|3
125|7|20
126|19|15
127|8|5
128|111|16
129|112|13
130|116|2
131|90|17
132|1|16
133|27|1
134|127|16
135|126|16
136|68|2
137|51|5
138|101|20
139|98|14
140|127|6
141|127|14
142|99|12
143|84|7
144|20|7
145|78|12
146|44|7
147|23|9
148|108|10
149|12|10
150|93|18
151|122|12
152|48|14
153|100|17
154|133|18
155|76|18
156|70|9
157|53|20
158|38|17
159|4|15
160|69|6
161|37|2
162|94|20
163|52|17
164|104|12
165|121|20
166|33|1
167|1|4
168|59|3
169|55|8
170|99|8
171|134|8
172|127|3
173|119|17
174|74|12
175|117|8
176|47|11
177|134|2
178|23|5
179|13|17
180|23|8
181|81|9
182|79|7
183|88|9
184|9|9
185|89|18
186|1|18
187|124|7
188|37|19
189|55|18
190|55|19
191|10|3
192|123|9
193|46|12
194|51|19
195|64|1
196|35|5
197|119|6
198|52|3
199|35|11
200|91|11
201|95|13
202|95|15
203|19|1
204|32|19
205|98|5
206|23|10
207|13|12
208|37|10
209|71|16
210|36|7
211|106|12
212|22|11
213|14|1
214|16|18
215|81|17
216|15|19
217|89|16
218|130|2
219|33|18
220|43|17
221|25|20
222|115|15
223|60|15
224|52|5
225|118|15
226|63|8
227|127|4
228|18|2
229|127|18
230|25|9
231|124|12
